Column,name,wiki_name,birth_date,link,born_place,lat,long,Born in,kneset,Knesset_number,education,occupations,army_service,language
0,אבו מערוף עבדאללה,,30/12/1956,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=909,ירכא-ישראל,32.95435,35.21197,ישראל,חבר הכנסת ה-20,20,['- בוגר רפואה מאוניברסיטת לנינגרד  - תואר שלישי PHD במדעים ופילוסופיה'],['אורולוג ורופא משפחה'],,"עברית, אנגלית, רוסית, ערבית"
1,אבו עראר טלב,,04/05/1967,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=857,ישראל,31.5,34.75,ישראל,"חבר הכנסת ה-19, 20","19 ,20",['- BA – תואר ראשון במשפטים'],['עורך-דין'],,אנגלית
2,אבו רחמון ניבין,,24/11/1981,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=971,ישראל,31.5,34.75,ישראל,חברת הכנסת ה-20,20,"['- תואר ראשון במדעי המדינה ותקשורת, אוניברסיטת בר-אילן  - תואר שני במדעי המדינה, אוניברסיטת בר-אילן']",['מורה לאזרחות'],,"עברית, אנגלית, ערבית"
3,אבו שחאדה סמי,אבו שחאדה סמי,19/12/1975,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=1031,לוד-ישראל,31.9467,34.8903,ישראל,חברי הכנסת ה-23,23,"['- תואר ראשון בהיסטוריה ומדע המדינה  - תואר שני בהיסטוריה מודרנית של המזרח התיכון  - ייעוץ קריירה, אוניברסיטת תל אביב  - תוכנית לימוד לצעירים, מכללת תל אביב-יפו']","['מקצוע\n- מנכ""ל עמותה - מדריך סיורים ומרצה - יועץ בבחירת קריירה']",,
4,אבוחצירא אהרן,,28/10/1938,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=178,מרוקו,32,-6,מרוקו,"חבר הכנסת ה-8, 9, 10, 11, 12","8 ,9 ,10 ,11 ,12","['- למד בישיבות, בסמינר למורים בירושלים ובאוניברסיטת בר-אילן.  - בעל תואר B.A.']",['מורה בית-ספר תיכון'],,
5,אבוטבול משה,Mosheh Abuṭbul,"י""ד בתמוז תשכ""ה, 14/07/1965",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=1029,באר-שבע-ישראל,31.25181,34.7913,ישראל,"22,23-חבר כנסת ה","22,23",['- ישיבה קטנה  - ישיבה גדולה  - אברך כולל'],['מקצוע\nמחנך ומורה'],,
6,אבו-רביעה חמאד,,01/01/1929,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=180,מאהל-בדואי-ליד-תל-אל-מלח-בנגב-ישראל,31.5,34.75,ישראל,"חבר הכנסת ה-8, 9","8 ,9",['למד בבית-ספר יסודי לבנים בבאר-שבע ובבית-ספר תיכון בחברון.'],,,
7,אבו-רוכן לביב חוסיין,,01/01/1911,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=233,עוספיא-ישראל,31.5,34.75,ישראל,חבר הכנסת ה-4,4,,,,
8,אבטבי אליעזר,,05/01/1938,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=234,טקב-איראן,32,53,איראן,"חבר הכנסת ה-8, 9, 10","8 ,9 ,10",['השכלה תיכונית'],,,
9,אבידר אלי,Eli Avidar,"כ""ח בכסלו תשכ""ה, 03/12/1964",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=983,מצרים,27,30,מצרים,"21,23,22-חבר כנסת ה","21,23,22","['- תואר ראשון בלימודי המזרח התיכון ולימודים כלליים, האוניברסיטה העברית  - תואר שני בלימודי המזרח התיכון, אוניברסיטת תל אביב']","['מקצוע\nדיפלומט, פרשן וסופר']","שירות צבאי
- רב-סרן במילואים
- קצין מודיעין",
