Column,name,position,govermmrnt number,educaction,occupations,army_service,party
0,בן-גוריון דוד,ראש הממשלה,1,['- למד ב”חדר”  - 1911 – לימודי משפטים באוניברסיטה בקושטא'],,"חודשים אחדים לאחר הצהרת בלפור התנדב לגדוד העברי, ואולם כשהגיעה יחידתו ארצה כבר הסתיים כיבושה בידי הבריטים.",מפא”י
1,קפלן אליעזר,שר האוצר,1,['- לימודים ב”חדר”  - לימודים בגימנסיה רוסית  - בשנת 1917 – סיום לימודי הנדסת בניין בבית-הספר הגבוה לטכנולוגיה במוסקבה'],,,מפא”י
2,בן-גוריון דוד,שר הביטחון,1,['- למד ב”חדר”  - 1911 – לימודי משפטים באוניברסיטה בקושטא'],,"חודשים אחדים לאחר הצהרת בלפור התנדב לגדוד העברי, ואולם כשהגיעה יחידתו ארצה כבר הסתיים כיבושה בידי הבריטים.",מפא”י
3,שפירא חיים משה,שר הבריאות,1,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,חזית דתית מאוחדת
4,מימון יהודה לייב,שר הדתות,1,"['- למד בישיבות בליטא.  - בשנים 1900–1905, לאחר שקיבל סמיכות לרב, שימש כ”מגיד” במארקולשטי.  - בשנים 1905–1913 היה רב באונגני (בסרביה).']",,,חזית דתית מאוחדת
5,שרת משה,שר החוץ,1,"['- למד ב""חדר"" מתוקן.  - בשנים 1908–1913 למד בגימנסיה רוסית בחרסון ובגימנסיה ”הרצלייה”.  - בשנים 1913–1914 למד משפטים באוניברסיטת קושטא.  - בשנים 1920–1925 למד משפטים בבית הספר לכלכלה של לונדון.']",,"- בשנת 1915 התגייס לצבא הטורקי והתקדם בו לדרגת סגן משנה.
- שירת במקדוניה ובחלב.",מפא”י
6,שזר שניאור זלמן,שר החינוך והתרבות,1,"['- 1907–1911 – לימודים באקדמיה ללימוד היהדות בסנט-פטרבורג  - לימודי היסטוריה ופילוסופיה באוניברסיטאות פרייבורג, שטרסבורג וברלין']",,,מפא”י
7,יוסף דב,שר החקלאות,1,['- לימודים בבית-ספר תיכון במונטריאול  - לימודי כלכלה ומדעי הרוח באוניברסיטת מקגיל במונטריאול  - לימודי משפטים באוניברסיטת לאוואל בקוויבק  - דוקטור לפילוסופיה ומוסמך במשפטים מטעם אוניברסיטת לונדון'],['עורך דין'],"במלחמת העולם הראשונה היה פעיל בארגון ההתנדבות לגדוד העברי בקנדה, ובשנת 1918 הגיע לארץ ישראל כסרג`נט בגדוד.",מפא”י
8,קפלן אליעזר,שר המסחר והתעשיה,1,['- לימודים ב”חדר”  - לימודים בגימנסיה רוסית  - בשנת 1917 – סיום לימודי הנדסת בניין בבית-הספר הגבוה לטכנולוגיה במוסקבה'],,,מפא”י
9,שטרית בכור שלום,שר המשטרה,1,"['למד בחדר, בבית-הספר של כי”ח (אליאנס) ובישיבת טבריה; בבית הספר למשפטים בירושלים. הוסמך כעורך-דין.']",,,ספרדים ועדות מזרח
10,רוזן פנחס,שר המשפטים,1,"['- למד משפטים באוניברסיטאות פרייבורג וברלין. - הוסמך לעורך דין ( 1908).  - בעל תואר ד""ר למשפטים (1910)']",,,מפלגה פרוגרסיבית
11,לוין יצחק מאיר,שר הסעד,1,['- למד בישיבות.  - הוסמך לרבנות.'],,,חזית דתית מאוחדת
12,מאיר גולדה,שרת העבודה והביטוח העממי,1,['בוגרת בית-המדרש למורות במילווקי ובעלת תעודת הוראה'],,,מפא”י
13,שפירא חיים משה,שר העלייה,1,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,חזית דתית מאוחדת
14,שפירא חיים משה,שר הפנים,1,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,חזית דתית מאוחדת
15,יוסף דב,שר הקיצוב והאספקה,1,['- לימודים בבית-ספר תיכון במונטריאול  - לימודי כלכלה ומדעי הרוח באוניברסיטת מקגיל במונטריאול  - לימודי משפטים באוניברסיטת לאוואל בקוויבק  - דוקטור לפילוסופיה ומוסמך במשפטים מטעם אוניברסיטת לונדון'],['עורך דין'],"במלחמת העולם הראשונה היה פעיל בארגון ההתנדבות לגדוד העברי בקנדה, ובשנת 1918 הגיע לארץ ישראל כסרג`נט בגדוד.",מפא”י
16,רמז דוד,שר התחבורה,1,"['- למד ב""חדר"".  - למד בגימנסיה בעיר ילץ.  - למד בפקולטה למשפטים בקושטא.  - עבד בהוראה.']",,,מפא”י
17,מימון יהודה לייב,השר לנפגעי מלחמה,1,"['- למד בישיבות בליטא.  - בשנים 1900–1905, לאחר שקיבל סמיכות לרב, שימש כ”מגיד” במארקולשטי.  - בשנים 1905–1913 היה רב באונגני (בסרביה).']",,,חזית דתית מאוחדת
18,בן-גוריון דוד,ראש הממשלה,2,['- למד ב”חדר”  - 1911 – לימודי משפטים באוניברסיטה בקושטא'],,"חודשים אחדים לאחר הצהרת בלפור התנדב לגדוד העברי, ואולם כשהגיעה יחידתו ארצה כבר הסתיים כיבושה בידי הבריטים.",מפא”י
19,קפלן אליעזר,שר האוצר,2,['- לימודים ב”חדר”  - לימודים בגימנסיה רוסית  - בשנת 1917 – סיום לימודי הנדסת בניין בבית-הספר הגבוה לטכנולוגיה במוסקבה'],,,מפא”י
